Week of,,6-Jan,13-Jan,20-Jan,27-Jan,3-Feb,10-Feb,17-Feb,24-Feb,2-Mar,9-Mar,16-Mar,23-Mar,30-Mar,6-Apr,13-Apr,20-Apr,27-Apr,4-May,11-May,18-May,25-May,1-Jun,8-Jun,15-Jun,22-Jun,29-Jun,6-Jul,13-Jul,20-Jul,27-Jul,3-Aug,10-Aug,17-Aug,24-Aug,31-Aug,7-Sep,14-Sep,21-Sep,28-Sep,5-Oct,12-Oct,19-Oct,26-Oct,2-Nov,9-Nov,16-Nov,23-Nov
,,6-Jan,13-Jan,20-Jan,27-Jan,3-Feb,10-Feb,17-Feb,24-Feb,2-Mar,9-Mar,16-Mar,23-Mar,30-Mar,6-Apr,13-Apr,20-Apr,27-Apr,4-May,11-May,18-May,25-May,1-Jun,8-Jun,15-Jun,22-Jun,29-Jun,6-Jul,13-Jul,20-Jul,27-Jul,3-Aug,10-Aug,17-Aug,24-Aug,31-Aug,7-Sep,14-Sep,21-Sep,28-Sep,5-Oct,12-Oct,19-Oct,26-Oct,2-Nov,9-Nov,16-Nov,23-Nov
USA,2019,"169,628","166,527","168,251","166,366","168,648","170,107","174,829","176,570","181,065","183,201","182,791","182,553","182,248","181,634","180,421","181,628","182,443","183,313","184,928","180,462","184,116","188,474","191,692","192,326","192,186","175,968","193,758","193,959","194,109","194,362","193,469","191,564","188,134","180,187","178,189","181,597","181,488","181,465","182,636","183,613","183,333","181,767","172,623","179,427","180,482","182,256","170,523"
,2020,"174,127","170,396","172,533","171,500","173,091","173,941","178,673","178,947","180,602","184,533","185,546","176,280","140,566","95,914","74,449","70,298","65,936","49,408","49,386","50,456","51,208","56,674","62,745","65,880","69,541","77,640","95,873","98,480","98,569","97,797","101,597","101,163","100,610","100,425","96,826","92,061","90,448","90,707","93,208","96,598","97,837","96,008","91,435","96,504","100,458","105,251","107,267"
,,2.7%,2.3%,2.5%,3.1%,2.6%,2.3%,2.2%,1.3%,-0.3%,0.7%,1.5%,-3.4%,-22.9%,-47.2%,-58.7%,-61.3%,-63.9%,-73.0%,-73.3%,-72.0%,-72.2%,-69.9%,-67.3%,-65.7%,-63.8%,-55.9%,-50.5%,-49.2%,-49.2%,-49.7%,-47.5%,-47.2%,-46.5%,-44.3%,-45.7%,-49.3%,-50.2%,-50.0%,-49.0%,-47.4%,-46.6%,-47.2%,-47.0%,-46.2%,-44.3%,-42.3%,-37.1%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6-Jan,13-Jan,20-Jan,27-Jan,3-Feb,10-Feb,17-Feb,24-Feb,2-Mar,9-Mar,16-Mar,23-Mar,30-Mar,6-Apr,13-Apr,20-Apr,27-Apr,4-May,11-May,18-May,25-May,1-Jun,8-Jun,15-Jun,22-Jun,29-Jun,6-Jul,13-Jul,20-Jul,27-Jul,3-Aug,10-Aug,17-Aug,24-Aug,31-Aug,7-Sep,14-Sep,21-Sep,28-Sep,5-Oct,12-Oct,19-Oct,26-Oct,2-Nov,9-Nov,16-Nov,23-Nov
India,2019,"25,013","24,949","24,655","25,182","24,845","24,100","23,353","24,250","23,540","23,316","23,084","22,142","22,410","22,565","22,634","22,684","22,628","22,861","23,516","23,406","23,553","23,563","23,745","23,644","23,618","23,588","23,741","23,873","23,827","23,552","23,831","23,925","23,726","23,629","23,610","23,679","23,939","24,297","24,800","24,951","25,076","25,134","25,396","25,606","25,565","25,692","25,669"
,2020,"25,978","25,896","25,365","25,723","25,543","25,770","25,925","26,073","26,192","25,987","25,238","22,522","7,595","6,887","4,789","2,770","1,552","2,240","7,908","17,452","10,158","8,806","7,845","8,395","7,482","16,444","9,033","9,464","9,993","9,018","9,832","9,379","9,766","9,330","10,363","10,412","11,894","12,172","12,702","12,288","12,740","13,855","15,286","13,700","14,391","14,383","15,057"
,,3.9%,3.8%,2.9%,2.1%,2.8%,6.9%,11.0%,7.5%,11.3%,11.5%,9.3%,1.7%,-66.1%,-69.5%,-78.8%,-87.8%,-93.1%,-90.2%,-66.4%,-25.4%,-56.9%,-62.6%,-67.0%,-64.5%,-68.3%,-30.3%,-62.0%,-60.4%,-58.1%,-61.7%,-58.7%,-60.8%,-58.8%,-60.5%,-56.1%,-56.0%,-50.3%,-49.9%,-48.8%,-50.8%,-49.2%,-44.9%,-39.8%,-46.5%,-43.7%,-44.0%,-41.3%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6-Jan,13-Jan,20-Jan,27-Jan,3-Feb,10-Feb,17-Feb,24-Feb,2-Mar,9-Mar,16-Mar,23-Mar,30-Mar,6-Apr,13-Apr,20-Apr,27-Apr,4-May,11-May,18-May,25-May,1-Jun,8-Jun,15-Jun,22-Jun,29-Jun,6-Jul,13-Jul,20-Jul,27-Jul,3-Aug,10-Aug,17-Aug,24-Aug,31-Aug,7-Sep,14-Sep,21-Sep,28-Sep,5-Oct,12-Oct,19-Oct,26-Oct,2-Nov,9-Nov,16-Nov,23-Nov
China,2019,"89,428","91,393","95,342","97,723","92,700","98,024","96,217","93,891","90,842","89,973","88,319","88,335","91,115","92,799","92,953","91,758","91,955","91,603","91,942","92,259","91,852","90,706","93,326","93,584","94,547","97,476","98,427","99,147","100,053","100,378","100,383","100,441","98,951","97,567","95,884","93,827","95,388","95,294","95,302","94,263","93,923","92,670","92,206","91,891","91,990","91,505","91,247"
,2020,"96,792","100,308","97,677","98,089","72,179","36,869","28,690","36,511","54,707","53,300","54,913","56,095","51,336","49,952","53,614","53,288","56,351","62,883","67,624","66,369","68,187","74,052","74,674","78,018","72,340","77,089","75,812","84,557","89,649","89,389","89,503","89,940","91,047","91,137","89,953","90,715","91,359","93,106","96,308","96,276","93,746","91,236","88,962","89,130","89,021","89,798","89,299"
,,8.2%,9.8%,2.4%,0.4%,-22.1%,-62.4%,-70.2%,-61.1%,-39.8%,-40.8%,-37.8%,-36.5%,-43.7%,-46.2%,-42.3%,-41.9%,-38.7%,-31.4%,-26.4%,-28.1%,-25.8%,-18.4%,-20.0%,-16.6%,-23.5%,-20.9%,-23.0%,-14.7%,-10.4%,-10.9%,-10.8%,-10.5%,-8.0%,-6.6%,-6.2%,-3.3%,-4.2%,-2.3%,1.1%,2.1%,-0.2%,-1.5%,-3.5%,-3.0%,-3.2%,-1.9%,-2.1%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6-Jan,13-Jan,20-Jan,27-Jan,3-Feb,10-Feb,17-Feb,24-Feb,2-Mar,9-Mar,16-Mar,23-Mar,30-Mar,6-Apr,13-Apr,20-Apr,27-Apr,4-May,11-May,18-May,25-May,1-Jun,8-Jun,15-Jun,22-Jun,29-Jun,6-Jul,13-Jul,20-Jul,27-Jul,3-Aug,10-Aug,17-Aug,24-Aug,31-Aug,7-Sep,14-Sep,21-Sep,28-Sep,5-Oct,12-Oct,19-Oct,26-Oct,2-Nov,9-Nov,16-Nov,23-Nov
Japan,2019,"21,547","21,602","21,692","21,763","21,895","21,786","21,710","21,850","21,865","21,891","22,022","22,252","22,585","22,392","22,406","22,581","23,002","22,221","22,110","22,124","22,540","22,616","22,651","22,667","22,697","22,463","22,586","22,773","22,832","22,961","23,177","23,367","23,217","22,892","22,371","22,431","22,408","22,321","22,143","22,111","22,079","21,960","22,032","22,210","22,240","21,929","21,958"
,2020,"22,161","22,128","22,283","22,250","21,813","21,240","20,883","20,795","20,331","18,829","18,004","17,087","16,520","15,449","13,626","12,748","12,923","11,947","11,690","12,384","11,640","11,984","11,829","13,202","13,593","13,559","13,821","14,114","15,516","15,608","16,969","16,949","15,798","14,702","13,929","13,600","14,279","14,331","13,847","13,740","13,723","13,676","13,807","14,179","14,037","14,105","14,216"
,,2.8%,2.4%,2.7%,2.2%,-0.4%,-2.5%,-3.8%,-4.8%,-7.0%,-14.0%,-18.2%,-23.2%,-26.9%,-31.0%,-39.2%,-43.5%,-43.8%,-46.2%,-47.1%,-44.0%,-48.4%,-47.0%,-47.8%,-41.8%,-40.1%,-39.6%,-38.8%,-38.0%,-32.0%,-32.0%,-26.8%,-27.5%,-32.0%,-35.8%,-37.7%,-39.4%,-36.3%,-35.8%,-37.5%,-37.9%,-37.8%,-37.7%,-37.3%,-36.2%,-36.9%,-35.7%,-35.3%
